transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee,init_time,mu,sigma,est_mu,est_sigma,est_shift
0xc9437e615057b8ab59f1a83c67e080c3953ce2b09eacba4dcdfe64768d483e26,138,19000039,97891,17629529034,17619529034,978910000000,7.437704954084308,-1.870173890564745,0.7221301518848864,-1.9258906378688645,0.7517659730533738,7.445436081766886
0xabc048df6a86722d9e4dcfa9867b9c283ec0d17b52242f026aa60ee029700f94,71,19000039,46487,17719529034,17619529034,4648700000000,7.603140838371749,-1.870173890564745,0.7221301518848864,-1.8977347622483303,0.7371222642333223,7.607251259718834
0x9c6ba2280d80fad8f63dc8e55719bf382465d8fa204bd33b5f4ca2a1942906e0,136,19000039,155692,17629529034,17619529034,1556920000000,7.6184539162323475,-1.870173890564745,0.7221301518848864,-1.8946387853735422,0.7371756301397199,7.622452798644384
0xb06d64e2f07028c1560632aa2f230e77627525aa8ce7c07e31c916c19475d3f5,8,19000039,97409,25560514484,17619529034,773523451699050,7.664151975842343,-1.870173890564745,0.7221301518848864,-1.9032548309362454,0.7493539029336723,7.669538257165541
0x21271e85776d46b806e60d86fffbb540553b933fa5716fb2d623d3eed0ffb040,3,19000039,51438,27619529034,17619529034,514380000000000,7.864924544134331,-1.870173890564745,0.7221301518848864,-1.8867833278317026,0.7367078390665771,7.867752035003881
0xcd741f9419102964743989aaf2cc390a8feb6e704b9537014f0fbaae7224ffc2,121,19000039,21000,17719529034,17619529034,2100000000000,7.897774759066169,-1.870173890564745,0.7221301518848864,-1.9009404263351557,0.7396968820483808,7.901118962531065
0xdd370873f2d79ac01aeca96f10bb0a5cf0eb0c725e477f247a861f6069e2d38a,152,19000039,63209,25000000000,17619529034,466512189289894,8.013214831010885,-1.870173890564745,0.7221301518848864,-1.8891616302310112,0.7435019777114793,8.016930469930454
0x28137c8b6bb130492f301e94f23b27078001643c411038918209eeea5559b68c,56,19000039,272801,17719529034,17619529034,27280100000000,8.020251330043635,-1.870173890564745,0.7221301518848864,-1.8812095733391179,0.7365616976010653,8.02259379640618
0x9d5ee64a17c71c5ec9a24ff1ac871bcddc95a3316979e6ccd83ec29cdba2c18a,99,19000039,21000,18619529034,17619529034,21000000000000,8.12895392531015,-1.870173890564745,0.7221301518848864,-1.872635059154826,0.7251624193491789,8.12919356673569
0x403f80480331d050be7430c9f66ba60e6744ff72d585312d020061ca8cb3035a,21,19000039,41309,21000000000,17619529034,139643875134494,8.394401774094563,-1.870173890564745,0.7221301518848864,-1.8825575841409448,0.7351152409006413,8.397024479372
